index,material,sample,scale,image_label,relative_path
32,aluminium_foil,sample_a,3,6,aluminium_foil/sample_a/15a-scale_3_im_6_col.png
33,aluminium_foil,sample_a,3,7,aluminium_foil/sample_a/15a-scale_3_im_7_col.png
34,aluminium_foil,sample_a,3,8,aluminium_foil/sample_a/15a-scale_3_im_8_col.png
35,aluminium_foil,sample_a,3,9,aluminium_foil/sample_a/15a-scale_3_im_9_col.png
36,aluminium_foil,sample_a,4,10,aluminium_foil/sample_a/15a-scale_4_im_10_col.png
37,aluminium_foil,sample_a,4,11,aluminium_foil/sample_a/15a-scale_4_im_11_col.png
38,aluminium_foil,sample_a,4,12,aluminium_foil/sample_a/15a-scale_4_im_12_col.png
39,aluminium_foil,sample_a,4,1,aluminium_foil/sample_a/15a-scale_4_im_1_col.png
40,aluminium_foil,sample_a,4,2,aluminium_foil/sample_a/15a-scale_4_im_2_col.png
41,aluminium_foil,sample_a,4,3,aluminium_foil/sample_a/15a-scale_4_im_3_col.png
42,aluminium_foil,sample_a,4,4,aluminium_foil/sample_a/15a-scale_4_im_4_col.png
43,aluminium_foil,sample_a,4,5,aluminium_foil/sample_a/15a-scale_4_im_5_col.png
44,aluminium_foil,sample_a,4,6,aluminium_foil/sample_a/15a-scale_4_im_6_col.png
45,aluminium_foil,sample_a,4,7,aluminium_foil/sample_a/15a-scale_4_im_7_col.png
46,aluminium_foil,sample_a,4,8,aluminium_foil/sample_a/15a-scale_4_im_8_col.png
47,aluminium_foil,sample_a,4,9,aluminium_foil/sample_a/15a-scale_4_im_9_col.png
48,aluminium_foil,sample_a,5,10,aluminium_foil/sample_a/15a-scale_5_im_10_col.png
49,aluminium_foil,sample_a,5,11,aluminium_foil/sample_a/15a-scale_5_im_11_col.png
50,aluminium_foil,sample_a,5,12,aluminium_foil/sample_a/15a-scale_5_im_12_col.png
51,aluminium_foil,sample_a,5,1,aluminium_foil/sample_a/15a-scale_5_im_1_col.png
52,aluminium_foil,sample_a,5,2,aluminium_foil/sample_a/15a-scale_5_im_2_col.png
53,aluminium_foil,sample_a,5,3,aluminium_foil/sample_a/15a-scale_5_im_3_col.png
54,aluminium_foil,sample_a,5,4,aluminium_foil/sample_a/15a-scale_5_im_4_col.png
55,aluminium_foil,sample_a,5,5,aluminium_foil/sample_a/15a-scale_5_im_5_col.png
56,aluminium_foil,sample_a,5,6,aluminium_foil/sample_a/15a-scale_5_im_6_col.png
57,aluminium_foil,sample_a,5,7,aluminium_foil/sample_a/15a-scale_5_im_7_col.png
58,aluminium_foil,sample_a,5,8,aluminium_foil/sample_a/15a-scale_5_im_8_col.png
59,aluminium_foil,sample_a,5,9,aluminium_foil/sample_a/15a-scale_5_im_9_col.png
60,aluminium_foil,sample_a,6,10,aluminium_foil/sample_a/15a-scale_6_im_10_col.png
61,aluminium_foil,sample_a,6,11,aluminium_foil/sample_a/15a-scale_6_im_11_col.png
62,aluminium_foil,sample_a,6,12,aluminium_foil/sample_a/15a-scale_6_im_12_col.png
63,aluminium_foil,sample_a,6,1,aluminium_foil/sample_a/15a-scale_6_im_1_col.png
64,aluminium_foil,sample_a,6,2,aluminium_foil/sample_a/15a-scale_6_im_2_col.png
65,aluminium_foil,sample_a,6,3,aluminium_foil/sample_a/15a-scale_6_im_3_col.png
66,aluminium_foil,sample_a,6,4,aluminium_foil/sample_a/15a-scale_6_im_4_col.png
67,aluminium_foil,sample_a,6,5,aluminium_foil/sample_a/15a-scale_6_im_5_col.png
68,aluminium_foil,sample_a,6,6,aluminium_foil/sample_a/15a-scale_6_im_6_col.png
69,aluminium_foil,sample_a,6,7,aluminium_foil/sample_a/15a-scale_6_im_7_col.png
70,aluminium_foil,sample_a,6,8,aluminium_foil/sample_a/15a-scale_6_im_8_col.png
71,aluminium_foil,sample_a,6,9,aluminium_foil/sample_a/15a-scale_6_im_9_col.png
72,aluminium_foil,sample_a,7,10,aluminium_foil/sample_a/15a-scale_7_im_10_col.png
73,aluminium_foil,sample_a,7,11,aluminium_foil/sample_a/15a-scale_7_im_11_col.png
74,aluminium_foil,sample_a,7,12,aluminium_foil/sample_a/15a-scale_7_im_12_col.png
75,aluminium_foil,sample_a,7,1,aluminium_foil/sample_a/15a-scale_7_im_1_col.png
76,aluminium_foil,sample_a,7,2,aluminium_foil/sample_a/15a-scale_7_im_2_col.png
77,aluminium_foil,sample_a,7,3,aluminium_foil/sample_a/15a-scale_7_im_3_col.png
78,aluminium_foil,sample_a,7,4,aluminium_foil/sample_a/15a-scale_7_im_4_col.png
79,aluminium_foil,sample_a,7,5,aluminium_foil/sample_a/15a-scale_7_im_5_col.png
80,aluminium_foil,sample_a,7,6,aluminium_foil/sample_a/15a-scale_7_im_6_col.png
81,aluminium_foil,sample_a,7,7,aluminium_foil/sample_a/15a-scale_7_im_7_col.png
82,aluminium_foil,sample_a,7,8,aluminium_foil/sample_a/15a-scale_7_im_8_col.png
83,aluminium_foil,sample_a,7,9,aluminium_foil/sample_a/15a-scale_7_im_9_col.png
84,aluminium_foil,sample_a,8,10,aluminium_foil/sample_a/15a-scale_8_im_10_col.png
85,aluminium_foil,sample_a,8,11,aluminium_foil/sample_a/15a-scale_8_im_11_col.png
86,aluminium_foil,sample_a,8,12,aluminium_foil/sample_a/15a-scale_8_im_12_col.png
87,aluminium_foil,sample_a,8,1,aluminium_foil/sample_a/15a-scale_8_im_1_col.png
88,aluminium_foil,sample_a,8,2,aluminium_foil/sample_a/15a-scale_8_im_2_col.png
89,aluminium_foil,sample_a,8,3,aluminium_foil/sample_a/15a-scale_8_im_3_col.png
90,aluminium_foil,sample_a,8,4,aluminium_foil/sample_a/15a-scale_8_im_4_col.png
91,aluminium_foil,sample_a,8,5,aluminium_foil/sample_a/15a-scale_8_im_5_col.png
92,aluminium_foil,sample_a,8,6,aluminium_foil/sample_a/15a-scale_8_im_6_col.png
93,aluminium_foil,sample_a,8,7,aluminium_foil/sample_a/15a-scale_8_im_7_col.png
94,aluminium_foil,sample_a,8,8,aluminium_foil/sample_a/15a-scale_8_im_8_col.png
95,aluminium_foil,sample_a,8,9,aluminium_foil/sample_a/15a-scale_8_im_9_col.png
96,aluminium_foil,sample_a,9,10,aluminium_foil/sample_a/15a-scale_9_im_10_col.png
97,aluminium_foil,sample_a,9,11,aluminium_foil/sample_a/15a-scale_9_im_11_col.png
98,aluminium_foil,sample_a,9,12,aluminium_foil/sample_a/15a-scale_9_im_12_col.png
99,aluminium_foil,sample_a,9,1,aluminium_foil/sample_a/15a-scale_9_im_1_col.png
100,aluminium_foil,sample_a,9,2,aluminium_foil/sample_a/15a-scale_9_im_2_col.png
101,aluminium_foil,sample_a,9,3,aluminium_foil/sample_a/15a-scale_9_im_3_col.png
102,aluminium_foil,sample_a,9,4,aluminium_foil/sample_a/15a-scale_9_im_4_col.png
103,aluminium_foil,sample_a,9,5,aluminium_foil/sample_a/15a-scale_9_im_5_col.png
104,aluminium_foil,sample_a,9,6,aluminium_foil/sample_a/15a-scale_9_im_6_col.png
105,aluminium_foil,sample_a,9,7,aluminium_foil/sample_a/15a-scale_9_im_7_col.png
106,aluminium_foil,sample_a,9,8,aluminium_foil/sample_a/15a-scale_9_im_8_col.png
107,aluminium_foil,sample_a,9,9,aluminium_foil/sample_a/15a-scale_9_im_9_col.png
108,aluminium_foil,sample_b,10,10,aluminium_foil/sample_b/15b-scale_10_im_10_col.png
109,aluminium_foil,sample_b,10,11,aluminium_foil/sample_b/15b-scale_10_im_11_col.png
110,aluminium_foil,sample_b,10,12,aluminium_foil/sample_b/15b-scale_10_im_12_col.png
111,aluminium_foil,sample_b,10,1,aluminium_foil/sample_b/15b-scale_10_im_1_col.png
112,aluminium_foil,sample_b,10,2,aluminium_foil/sample_b/15b-scale_10_im_2_col.png
113,aluminium_foil,sample_b,10,3,aluminium_foil/sample_b/15b-scale_10_im_3_col.png
114,aluminium_foil,sample_b,10,4,aluminium_foil/sample_b/15b-scale_10_im_4_col.png
115,aluminium_foil,sample_b,10,5,aluminium_foil/sample_b/15b-scale_10_im_5_col.png
116,aluminium_foil,sample_b,10,6,aluminium_foil/sample_b/15b-scale_10_im_6_col.png
117,aluminium_foil,sample_b,10,7,aluminium_foil/sample_b/15b-scale_10_im_7_col.png
118,aluminium_foil,sample_b,10,8,aluminium_foil/sample_b/15b-scale_10_im_8_col.png
119,aluminium_foil,sample_b,10,9,aluminium_foil/sample_b/15b-scale_10_im_9_col.png
120,aluminium_foil,sample_b,2,10,aluminium_foil/sample_b/15b-scale_2_im_10_col.png
121,aluminium_foil,sample_b,2,11,aluminium_foil/sample_b/15b-scale_2_im_11_col.png
122,aluminium_foil,sample_b,2,12,aluminium_foil/sample_b/15b-scale_2_im_12_col.png
123,aluminium_foil,sample_b,2,1,aluminium_foil/sample_b/15b-scale_2_im_1_col.png
124,aluminium_foil,sample_b,2,2,aluminium_foil/sample_b/15b-scale_2_im_2_col.png
125,aluminium_foil,sample_b,2,3,aluminium_foil/sample_b/15b-scale_2_im_3_col.png
126,aluminium_foil,sample_b,2,4,aluminium_foil/sample_b/15b-scale_2_im_4_col.png
127,aluminium_foil,sample_b,2,5,aluminium_foil/sample_b/15b-scale_2_im_5_col.png
128,aluminium_foil,sample_b,2,6,aluminium_foil/sample_b/15b-scale_2_im_6_col.png
129,aluminium_foil,sample_b,2,7,aluminium_foil/sample_b/15b-scale_2_im_7_col.png
130,aluminium_foil,sample_b,2,8,aluminium_foil/sample_b/15b-scale_2_im_8_col.png
131,aluminium_foil,sample_b,2,9,aluminium_foil/sample_b/15b-scale_2_im_9_col.png
132,aluminium_foil,sample_b,3,10,aluminium_foil/sample_b/15b-scale_3_im_10_col.png
133,aluminium_foil,sample_b,3,11,aluminium_foil/sample_b/15b-scale_3_im_11_col.png
134,aluminium_foil,sample_b,3,12,aluminium_foil/sample_b/15b-scale_3_im_12_col.png
135,aluminium_foil,sample_b,3,1,aluminium_foil/sample_b/15b-scale_3_im_1_col.png
136,aluminium_foil,sample_b,3,2,aluminium_foil/sample_b/15b-scale_3_im_2_col.png
137,aluminium_foil,sample_b,3,3,aluminium_foil/sample_b/15b-scale_3_im_3_col.png
138,aluminium_foil,sample_b,3,4,aluminium_foil/sample_b/15b-scale_3_im_4_col.png
139,aluminium_foil,sample_b,3,5,aluminium_foil/sample_b/15b-scale_3_im_5_col.png
140,aluminium_foil,sample_b,3,6,aluminium_foil/sample_b/15b-scale_3_im_6_col.png
141,aluminium_foil,sample_b,3,7,aluminium_foil/sample_b/15b-scale_3_im_7_col.png
142,aluminium_foil,sample_b,3,8,aluminium_foil/sample_b/15b-scale_3_im_8_col.png
143,aluminium_foil,sample_b,3,9,aluminium_foil/sample_b/15b-scale_3_im_9_col.png
144,aluminium_foil,sample_b,4,10,aluminium_foil/sample_b/15b-scale_4_im_10_col.png
145,aluminium_foil,sample_b,4,11,aluminium_foil/sample_b/15b-scale_4_im_11_col.png
146,aluminium_foil,sample_b,4,12,aluminium_foil/sample_b/15b-scale_4_im_12_col.png
147,aluminium_foil,sample_b,4,1,aluminium_foil/sample_b/15b-scale_4_im_1_col.png
148,aluminium_foil,sample_b,4,2,aluminium_foil/sample_b/15b-scale_4_im_2_col.png
149,aluminium_foil,sample_b,4,3,aluminium_foil/sample_b/15b-scale_4_im_3_col.png
150,aluminium_foil,sample_b,4,4,aluminium_foil/sample_b/15b-scale_4_im_4_col.png
151,aluminium_foil,sample_b,4,5,aluminium_foil/sample_b/15b-scale_4_im_5_col.png
152,aluminium_foil,sample_b,4,6,aluminium_foil/sample_b/15b-scale_4_im_6_col.png
153,aluminium_foil,sample_b,4,7,aluminium_foil/sample_b/15b-scale_4_im_7_col.png
154,aluminium_foil,sample_b,4,8,aluminium_foil/sample_b/15b-scale_4_im_8_col.png
155,aluminium_foil,sample_b,4,9,aluminium_foil/sample_b/15b-scale_4_im_9_col.png
156,aluminium_foil,sample_b,5,10,aluminium_foil/sample_b/15b-scale_5_im_10_col.png
157,aluminium_foil,sample_b,5,11,aluminium_foil/sample_b/15b-scale_5_im_11_col.png
158,aluminium_foil,sample_b,5,12,aluminium_foil/sample_b/15b-scale_5_im_12_col.png
159,aluminium_foil,sample_b,5,1,aluminium_foil/sample_b/15b-scale_5_im_1_col.png
160,aluminium_foil,sample_b,5,2,aluminium_foil/sample_b/15b-scale_5_im_2_col.png
161,aluminium_foil,sample_b,5,3,aluminium_foil/sample_b/15b-scale_5_im_3_col.png
162,aluminium_foil,sample_b,5,4,aluminium_foil/sample_b/15b-scale_5_im_4_col.png
163,aluminium_foil,sample_b,5,5,aluminium_foil/sample_b/15b-scale_5_im_5_col.png
164,aluminium_foil,sample_b,5,6,aluminium_foil/sample_b/15b-scale_5_im_6_col.png
165,aluminium_foil,sample_b,5,7,aluminium_foil/sample_b/15b-scale_5_im_7_col.png
166,aluminium_foil,sample_b,5,8,aluminium_foil/sample_b/15b-scale_5_im_8_col.png
167,aluminium_foil,sample_b,5,9,aluminium_foil/sample_b/15b-scale_5_im_9_col.png
168,aluminium_foil,sample_b,6,10,aluminium_foil/sample_b/15b-scale_6_im_10_col.png
169,aluminium_foil,sample_b,6,11,aluminium_foil/sample_b/15b-scale_6_im_11_col.png
170,aluminium_foil,sample_b,6,12,aluminium_foil/sample_b/15b-scale_6_im_12_col.png
171,aluminium_foil,sample_b,6,1,aluminium_foil/sample_b/15b-scale_6_im_1_col.png
172,aluminium_foil,sample_b,6,2,aluminium_foil/sample_b/15b-scale_6_im_2_col.png
173,aluminium_foil,sample_b,6,3,aluminium_foil/sample_b/15b-scale_6_im_3_col.png
174,aluminium_foil,sample_b,6,4,aluminium_foil/sample_b/15b-scale_6_im_4_col.png
175,aluminium_foil,sample_b,6,5,aluminium_foil/sample_b/15b-scale_6_im_5_col.png
176,aluminium_foil,sample_b,6,6,aluminium_foil/sample_b/15b-scale_6_im_6_col.png
177,aluminium_foil,sample_b,6,7,aluminium_foil/sample_b/15b-scale_6_im_7_col.png
178,aluminium_foil,sample_b,6,8,aluminium_foil/sample_b/15b-scale_6_im_8_col.png
179,aluminium_foil,sample_b,6,9,aluminium_foil/sample_b/15b-scale_6_im_9_col.png
180,aluminium_foil,sample_b,7,10,aluminium_foil/sample_b/15b-scale_7_im_10_col.png
181,aluminium_foil,sample_b,7,11,aluminium_foil/sample_b/15b-scale_7_im_11_col.png
182,aluminium_foil,sample_b,7,12,aluminium_foil/sample_b/15b-scale_7_im_12_col.png
183,aluminium_foil,sample_b,7,1,aluminium_foil/sample_b/15b-scale_7_im_1_col.png
184,aluminium_foil,sample_b,7,2,aluminium_foil/sample_b/15b-scale_7_im_2_col.png
185,aluminium_foil,sample_b,7,3,aluminium_foil/sample_b/15b-scale_7_im_3_col.png
186,aluminium_foil,sample_b,7,4,aluminium_foil/sample_b/15b-scale_7_im_4_col.png
187,aluminium_foil,sample_b,7,5,aluminium_foil/sample_b/15b-scale_7_im_5_col.png
188,aluminium_foil,sample_b,7,6,aluminium_foil/sample_b/15b-scale_7_im_6_col.png
189,aluminium_foil,sample_b,7,7,aluminium_foil/sample_b/15b-scale_7_im_7_col.png
190,aluminium_foil,sample_b,7,8,aluminium_foil/sample_b/15b-scale_7_im_8_col.png
191,aluminium_foil,sample_b,7,9,aluminium_foil/sample_b/15b-scale_7_im_9_col.png
192,aluminium_foil,sample_b,8,10,aluminium_foil/sample_b/15b-scale_8_im_10_col.png
193,aluminium_foil,sample_b,8,11,aluminium_foil/sample_b/15b-scale_8_im_11_col.png
194,aluminium_foil,sample_b,8,12,aluminium_foil/sample_b/15b-scale_8_im_12_col.png
195,aluminium_foil,sample_b,8,1,aluminium_foil/sample_b/15b-scale_8_im_1_col.png
196,aluminium_foil,sample_b,8,2,aluminium_foil/sample_b/15b-scale_8_im_2_col.png
197,aluminium_foil,sample_b,8,3,aluminium_foil/sample_b/15b-scale_8_im_3_col.png
198,aluminium_foil,sample_b,8,4,aluminium_foil/sample_b/15b-scale_8_im_4_col.png
199,aluminium_foil,sample_b,8,5,aluminium_foil/sample_b/15b-scale_8_im_5_col.png
200,aluminium_foil,sample_b,8,6,aluminium_foil/sample_b/15b-scale_8_im_6_col.png
201,aluminium_foil,sample_b,8,7,aluminium_foil/sample_b/15b-scale_8_im_7_col.png
202,aluminium_foil,sample_b,8,8,aluminium_foil/sample_b/15b-scale_8_im_8_col.png
203,aluminium_foil,sample_b,8,9,aluminium_foil/sample_b/15b-scale_8_im_9_col.png
204,aluminium_foil,sample_b,9,10,aluminium_foil/sample_b/15b-scale_9_im_10_col.png
205,aluminium_foil,sample_b,9,11,aluminium_foil/sample_b/15b-scale_9_im_11_col.png
206,aluminium_foil,sample_b,9,12,aluminium_foil/sample_b/15b-scale_9_im_12_col.png
207,aluminium_foil,sample_b,9,1,aluminium_foil/sample_b/15b-scale_9_im_1_col.png
208,aluminium_foil,sample_b,9,2,aluminium_foil/sample_b/15b-scale_9_im_2_col.png
209,aluminium_foil,sample_b,9,3,aluminium_foil/sample_b/15b-scale_9_im_3_col.png
210,aluminium_foil,sample_b,9,4,aluminium_foil/sample_b/15b-scale_9_im_4_col.png
211,aluminium_foil,sample_b,9,5,aluminium_foil/sample_b/15b-scale_9_im_5_col.png
212,aluminium_foil,sample_b,9,6,aluminium_foil/sample_b/15b-scale_9_im_6_col.png
213,aluminium_foil,sample_b,9,7,aluminium_foil/sample_b/15b-scale_9_im_7_col.png
214,aluminium_foil,sample_b,9,8,aluminium_foil/sample_b/15b-scale_9_im_8_col.png
215,aluminium_foil,sample_b,9,9,aluminium_foil/sample_b/15b-scale_9_im_9_col.png
216,aluminium_foil,sample_c,10,10,aluminium_foil/sample_c/15c-scale_10_im_10_col.png
217,aluminium_foil,sample_c,10,11,aluminium_foil/sample_c/15c-scale_10_im_11_col.png
218,aluminium_foil,sample_c,10,12,aluminium_foil/sample_c/15c-scale_10_im_12_col.png
219,aluminium_foil,sample_c,10,1,aluminium_foil/sample_c/15c-scale_10_im_1_col.png
220,aluminium_foil,sample_c,10,2,aluminium_foil/sample_c/15c-scale_10_im_2_col.png
221,aluminium_foil,sample_c,10,3,aluminium_foil/sample_c/15c-scale_10_im_3_col.png
222,aluminium_foil,sample_c,10,4,aluminium_foil/sample_c/15c-scale_10_im_4_col.png
223,aluminium_foil,sample_c,10,5,aluminium_foil/sample_c/15c-scale_10_im_5_col.png
224,aluminium_foil,sample_c,10,6,aluminium_foil/sample_c/15c-scale_10_im_6_col.png
225,aluminium_foil,sample_c,10,7,aluminium_foil/sample_c/15c-scale_10_im_7_col.png
226,aluminium_foil,sample_c,10,8,aluminium_foil/sample_c/15c-scale_10_im_8_col.png
227,aluminium_foil,sample_c,10,9,aluminium_foil/sample_c/15c-scale_10_im_9_col.png
228,aluminium_foil,sample_c,2,10,aluminium_foil/sample_c/15c-scale_2_im_10_col.png
229,aluminium_foil,sample_c,2,11,aluminium_foil/sample_c/15c-scale_2_im_11_col.png
230,aluminium_foil,sample_c,2,12,aluminium_foil/sample_c/15c-scale_2_im_12_col.png
231,aluminium_foil,sample_c,2,1,aluminium_foil/sample_c/15c-scale_2_im_1_col.png
232,aluminium_foil,sample_c,2,2,aluminium_foil/sample_c/15c-scale_2_im_2_col.png
233,aluminium_foil,sample_c,2,3,aluminium_foil/sample_c/15c-scale_2_im_3_col.png
234,aluminium_foil,sample_c,2,4,aluminium_foil/sample_c/15c-scale_2_im_4_col.png
235,aluminium_foil,sample_c,2,5,aluminium_foil/sample_c/15c-scale_2_im_5_col.png
236,aluminium_foil,sample_c,2,6,aluminium_foil/sample_c/15c-scale_2_im_6_col.png
237,aluminium_foil,sample_c,2,7,aluminium_foil/sample_c/15c-scale_2_im_7_col.png
238,aluminium_foil,sample_c,2,8,aluminium_foil/sample_c/15c-scale_2_im_8_col.png
239,aluminium_foil,sample_c,2,9,aluminium_foil/sample_c/15c-scale_2_im_9_col.png
240,aluminium_foil,sample_c,3,10,aluminium_foil/sample_c/15c-scale_3_im_10_col.png
241,aluminium_foil,sample_c,3,11,aluminium_foil/sample_c/15c-scale_3_im_11_col.png
242,aluminium_foil,sample_c,3,12,aluminium_foil/sample_c/15c-scale_3_im_12_col.png
243,aluminium_foil,sample_c,3,1,aluminium_foil/sample_c/15c-scale_3_im_1_col.png
244,aluminium_foil,sample_c,3,2,aluminium_foil/sample_c/15c-scale_3_im_2_col.png
245,aluminium_foil,sample_c,3,3,aluminium_foil/sample_c/15c-scale_3_im_3_col.png
246,aluminium_foil,sample_c,3,4,aluminium_foil/sample_c/15c-scale_3_im_4_col.png
247,aluminium_foil,sample_c,3,5,aluminium_foil/sample_c/15c-scale_3_im_5_col.png
248,aluminium_foil,sample_c,3,6,aluminium_foil/sample_c/15c-scale_3_im_6_col.png
249,aluminium_foil,sample_c,3,7,aluminium_foil/sample_c/15c-scale_3_im_7_col.png
250,aluminium_foil,sample_c,3,8,aluminium_foil/sample_c/15c-scale_3_im_8_col.png
251,aluminium_foil,sample_c,3,9,aluminium_foil/sample_c/15c-scale_3_im_9_col.png
252,aluminium_foil,sample_c,4,10,aluminium_foil/sample_c/15c-scale_4_im_10_col.png
253,aluminium_foil,sample_c,4,11,aluminium_foil/sample_c/15c-scale_4_im_11_col.png
254,aluminium_foil,sample_c,4,12,aluminium_foil/sample_c/15c-scale_4_im_12_col.png
255,aluminium_foil,sample_c,4,1,aluminium_foil/sample_c/15c-scale_4_im_1_col.png
256,aluminium_foil,sample_c,4,2,aluminium_foil/sample_c/15c-scale_4_im_2_col.png
257,aluminium_foil,sample_c,4,3,aluminium_foil/sample_c/15c-scale_4_im_3_col.png
258,aluminium_foil,sample_c,4,4,aluminium_foil/sample_c/15c-scale_4_im_4_col.png
259,aluminium_foil,sample_c,4,5,aluminium_foil/sample_c/15c-scale_4_im_5_col.png
260,aluminium_foil,sample_c,4,6,aluminium_foil/sample_c/15c-scale_4_im_6_col.png
261,aluminium_foil,sample_c,4,7,aluminium_foil/sample_c/15c-scale_4_im_7_col.png
262,aluminium_foil,sample_c,4,8,aluminium_foil/sample_c/15c-scale_4_im_8_col.png
263,aluminium_foil,sample_c,4,9,aluminium_foil/sample_c/15c-scale_4_im_9_col.png
264,aluminium_foil,sample_c,5,10,aluminium_foil/sample_c/15c-scale_5_im_10_col.png
265,aluminium_foil,sample_c,5,11,aluminium_foil/sample_c/15c-scale_5_im_11_col.png
266,aluminium_foil,sample_c,5,12,aluminium_foil/sample_c/15c-scale_5_im_12_col.png
267,aluminium_foil,sample_c,5,1,aluminium_foil/sample_c/15c-scale_5_im_1_col.png
268,aluminium_foil,sample_c,5,2,aluminium_foil/sample_c/15c-scale_5_im_2_col.png
269,aluminium_foil,sample_c,5,3,aluminium_foil/sample_c/15c-scale_5_im_3_col.png
270,aluminium_foil,sample_c,5,4,aluminium_foil/sample_c/15c-scale_5_im_4_col.png
271,aluminium_foil,sample_c,5,5,aluminium_foil/sample_c/15c-scale_5_im_5_col.png
272,aluminium_foil,sample_c,5,6,aluminium_foil/sample_c/15c-scale_5_im_6_col.png
273,aluminium_foil,sample_c,5,7,aluminium_foil/sample_c/15c-scale_5_im_7_col.png
274,aluminium_foil,sample_c,5,8,aluminium_foil/sample_c/15c-scale_5_im_8_col.png
275,aluminium_foil,sample_c,5,9,aluminium_foil/sample_c/15c-scale_5_im_9_col.png
276,aluminium_foil,sample_c,6,10,aluminium_foil/sample_c/15c-scale_6_im_10_col.png
277,aluminium_foil,sample_c,6,11,aluminium_foil/sample_c/15c-scale_6_im_11_col.png
278,aluminium_foil,sample_c,6,12,aluminium_foil/sample_c/15c-scale_6_im_12_col.png
279,aluminium_foil,sample_c,6,1,aluminium_foil/sample_c/15c-scale_6_im_1_col.png
280,aluminium_foil,sample_c,6,2,aluminium_foil/sample_c/15c-scale_6_im_2_col.png
281,aluminium_foil,sample_c,6,3,aluminium_foil/sample_c/15c-scale_6_im_3_col.png
282,aluminium_foil,sample_c,6,4,aluminium_foil/sample_c/15c-scale_6_im_4_col.png
283,aluminium_foil,sample_c,6,5,aluminium_foil/sample_c/15c-scale_6_im_5_col.png
284,aluminium_foil,sample_c,6,6,aluminium_foil/sample_c/15c-scale_6_im_6_col.png
285,aluminium_foil,sample_c,6,7,aluminium_foil/sample_c/15c-scale_6_im_7_col.png
286,aluminium_foil,sample_c,6,8,aluminium_foil/sample_c/15c-scale_6_im_8_col.png
287,aluminium_foil,sample_c,6,9,aluminium_foil/sample_c/15c-scale_6_im_9_col.png
288,aluminium_foil,sample_c,7,10,aluminium_foil/sample_c/15c-scale_7_im_10_col.png
289,aluminium_foil,sample_c,7,11,aluminium_foil/sample_c/15c-scale_7_im_11_col.png
